,uplandstation,upland,station,site,rep,size,sex,infected,metac,adult,intensity,isopod
98,B19,B,19,10,5,14.1,male,0,0,0,0,0
99,B19,B,19,10,6,12,male,0,0,0,0,0
100,B19,B,19,10,7,12,male,0,0,0,0,0
101,B19,B,19,10,8,11.2,female,0,0,0,0,0
102,B19,B,19,10,9,14.8,male,0,0,0,0,0
103,B19,B,19,10,10,12,female,0,0,0,0,0
104,B22,B,22,11,1,16.1,male,1,1,1,2,1
105,B22,B,22,11,2,15.5,female,1,1,0,1,0
106,B22,B,22,11,3,15,female,0,0,0,0,0
107,B22,B,22,11,4,23,male,1,9,2,11,0
108,B22,B,22,11,5,15,male,1,0,1,1,0
109,B22,B,22,11,6,13.7,male,0,0,0,0,0
110,B22,B,22,11,7,16.1,male,1,10,0,10,0
111,B22,B,22,11,8,16.8,male,1,3,3,6,0
112,B22,B,22,11,9,11,male,1,0,1,1,1
113,B22,B,22,11,10,16.1,male,1,3,1,4,0
114,F7,F,7,12,1,11,female,0,0,0,0,0
115,F7,F,7,12,2,11,male,0,0,0,0,0
116,F7,F,7,12,3,12.8,female,0,0,0,0,0
117,F7,F,7,12,4,13.8,male,0,0,0,0,0
118,F7,F,7,12,5,13.1,male,0,0,0,0,0
119,F7,F,7,12,6,15.1,male,1,1,1,2,2
120,F7,F,7,12,7,15.8,male,1,1,0,1,0
121,F7,F,7,12,8,11,male,0,0,0,0,0
122,F7,F,7,12,9,9.8,female,0,0,0,0,0
123,F7,F,7,12,10,10.8,female,0,0,0,0,0
124,F10,F,10,13,1,18,male,0,0,0,0,0
125,F10,F,10,13,2,15,male,0,0,0,0,0
126,F10,F,10,13,3,12,female,0,0,0,0,0
127,F10,F,10,13,4,11.1,female,0,0,0,0,0
128,F10,F,10,13,5,14,male,0,0,0,0,0
129,F10,F,10,13,6,14.5,male,1,1,0,1,0
130,F10,F,10,13,7,13.8,male,0,0,0,0,0
131,F10,F,10,13,8,13.9,male,0,0,0,0,0
132,F10,F,10,13,9,14.1,male,0,0,0,0,0
133,F10,F,10,13,10,15.1,male,0,0,0,0,0
134,F12,F,12,14,1,19,male,1,1,0,1,0
135,F12,F,12,14,2,18.8,male,0,0,0,0,0
136,F12,F,12,14,3,16,male,1,9,1,10,0
137,F12,F,12,14,4,19.5,male,0,0,0,0,0
138,F12,F,12,14,5,16.5,male,0,0,0,0,0
139,F12,F,12,14,6,17,female,0,0,0,0,0
140,F12,F,12,14,7,22,male,1,3,1,4,0
141,F12,F,12,14,8,19,male,0,0,0,0,0
142,F12,F,12,14,9,11,female,0,0,0,0,0
143,F12,F,12,14,10,17,female,1,1,0,1,0
144,F13,F,13,15,1,18,male,1,2,1,3,0
145,F13,F,13,15,2,13.6,male,0,0,0,0,0
146,F13,F,13,15,3,14,male,0,0,0,0,0
147,F13,F,13,15,4,16,male,0,0,0,0,0
148,F13,F,13,15,5,13.3,male,0,0,0,0,0
149,F13,F,13,15,6,15.2,male,0,0,0,0,0
150,F13,F,13,15,7,12.9,male,0,0,0,0,0
151,F13,F,13,15,8,16,male,0,0,0,0,0
152,F13,F,13,15,9,14,male,0,0,0,0,0
153,F13,F,13,15,10,16,male,1,0,0,3,0
154,F17,F,17,16,1,13,female *pregnant,0,0,0,0,0
155,F17,F,17,16,2,10.2,female *pregnant,0,0,0,0,0
156,F17,F,17,16,3,13.1,female,0,0,0,0,0
157,F17,F,17,16,4,10,female *pregnant,1,0,1,1,0
158,F17,F,17,16,5,11.1,male,0,0,0,0,0
159,F17,F,17,16,6,8.7,female,1,0,1,1,0
160,F17,F,17,16,7,11,male,0,0,0,0,0
161,F17,F,17,16,8,11,male,0,0,0,0,0
162,F17,F,17,16,9,10.1,male,0,0,0,0,0
163,F17,F,17,16,10,11,male,0,0,0,0,0
164,F18,F,18,17,1,13,male,1,0,1,1,0
165,F18,F,18,17,2,15.1,male,0,0,0,0,0
166,F18,F,18,17,3,11.5,male,0,0,0,0,0
167,F18,F,18,17,4,13.1,male,0,0,0,0,0
168,F18,F,18,17,5,13,male,1,1,0,1,0
169,F18,F,18,17,6,14,male,0,0,0,0,0
170,F18,F,18,17,7,16,male,1,4,1,5,0
171,F18,F,18,17,8,16.1,male,1,1,0,1,0
172,F18,F,18,17,9,12,male,1,0,1,1,0
173,F18,F,18,17,10,13,male,1,2,2,4,0
174,F19,F,19,18,1,14.1,female,0,0,0,0,0
175,F19,F,19,18,2,13.1,male,0,0,0,0,0
176,F19,F,19,18,3,12,male,0,0,0,0,0
177,F19,F,19,18,4,12,male,0,0,0,0,1
178,F19,F,19,18,5,13.8,male,0,0,0,0,0
179,F19,F,19,18,6,14.9,male,0,0,0,0,0
180,F19,F,19,18,7,10.3,male,0,0,0,0,0
181,F19,F,19,18,8,14.8,male,0,0,0,0,0
182,F19,F,19,18,9,12,male,0,0,0,0,0
183,F19,F,19,18,10,16,male,1,3,0,3,1
184,F22,F,22,19,1,11.8,female,0,0,0,0,0
185,F22,F,22,19,2,13.6,male,0,0,0,0,0
186,F22,F,22,19,3,13,female,0,0,0,0,0
187,F22,F,22,19,4,11,female,0,0,0,0,0
188,F22,F,22,19,5,12.3,male,0,0,0,0,0
189,F22,F,22,19,6,12,female,0,0,0,0,0
